call,M,K,N,K_w,cores,ns,cfg,gather_in0,act,in0_mem,in1_mem,in1_dtype,out_mem,bias,fidelity,pm_ideal_ns,fpu_util
2424832,32,4096,128256,4096,63,2976964.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,1896348.0,
1776640,32,14336,4096,14336,64,253715.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1530880,32,14336,4096,14336,64,253286.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1469440,32,14336,4096,14336,64,253265.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1930240,32,14336,4096,14336,64,253263.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1715200,32,14336,4096,14336,64,253171.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1868800,32,14336,4096,14336,64,253160.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1561600,32,14336,4096,14336,64,253158.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
2391040,32,14336,4096,14336,64,253150.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
2206720,32,14336,4096,14336,64,253067.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
2053120,32,14336,4096,14336,64,253046.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
2022400,32,14336,4096,14336,64,253038.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1592320,32,14336,4096,14336,64,253037.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
2298880,32,14336,4096,14336,64,252991.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1653760,32,14336,4096,14336,64,252945.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1745920,32,14336,4096,14336,64,252873.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
2237440,32,14336,4096,14336,64,252844.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
2421760,32,14336,4096,14336,63,252770.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1960960,32,14336,4096,14336,64,252769.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1899520,32,14336,4096,14336,64,252713.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1500160,32,14336,4096,14336,64,252545.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1623040,32,14336,4096,14336,64,252470.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
2360320,32,14336,4096,14336,64,252454.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
2083840,32,14336,4096,14336,64,252414.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
2145280,32,14336,4096,14336,64,252385.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1991680,32,14336,4096,14336,64,252349.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
2329600,32,14336,4096,14336,64,252332.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
2114560,32,14336,4096,14336,64,252253.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
2176000,32,14336,4096,14336,64,252045.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1838080,32,14336,4096,14336,64,252041.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1684480,32,14336,4096,14336,64,251850.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
2268160,32,14336,4096,14336,64,251848.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1807360,32,14336,4096,14336,64,251831.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT8_B,L1_WS,,HiFi2,211967.0,
1588224,32,4096,14336,4096,64,144365.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
2142208,32,4096,14336,4096,64,144179.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
1833984,32,4096,14336,4096,64,144140.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
1680384,32,4096,14336,4096,64,143967.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
1835008,32,4096,14336,4096,64,143844.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
2417664,32,4096,14336,4096,64,143696.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
2171904,32,4096,14336,4096,64,143649.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
2172928,32,4096,14336,4096,64,143646.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
1804288,32,4096,14336,4096,64,143626.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
1711104,32,4096,14336,4096,64,143596.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
2294784,32,4096,14336,4096,64,143595.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
1589248,32,4096,14336,4096,64,143491.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
1895424,32,4096,14336,4096,64,143441.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
1465344,32,4096,14336,4096,64,143386.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
1496064,32,4096,14336,4096,64,143375.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
1526784,32,4096,14336,4096,64,143370.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
1803264,32,4096,14336,4096,64,143349.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
2418688,32,4096,14336,4096,64,143339.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
2264064,32,4096,14336,4096,64,143332.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
2386944,32,4096,14336,4096,64,143316.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
2018304,32,4096,14336,4096,64,143271.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
2050048,32,4096,14336,4096,64,143252.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
1712128,32,4096,14336,4096,64,143248.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
1681408,32,4096,14336,4096,64,143245.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
2141184,32,4096,14336,4096,64,143229.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
2110464,32,4096,14336,4096,64,143211.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
2049024,32,4096,14336,4096,64,143132.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
2295808,32,4096,14336,4096,64,143126.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
1527808,32,4096,14336,4096,64,143101.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
1956864,32,4096,14336,4096,64,143089.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
2265088,32,4096,14336,4096,64,143022.0,DRAM-sharded,,,L1_WS,DRAM_WS,BFLOAT4_B,L1_WS,,LoFi,211967.0,
