call,M,K,N,K_w,cores,ns,cfg,gather_in0,act,in0_mem,in1_mem,in1_dtype,out_mem,bias,fidelity,pm_ideal_ns,fpu_util
2455552,32,896,151936,896,64,788087.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,491415.0,
1824768,32,4864,896,4864,28,32055.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2009088,32,4864,896,4864,28,32037.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1972224,32,4864,896,4864,28,32020.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1714176,32,4864,896,4864,28,32002.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2304000,32,4864,896,4864,28,31975.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2193408,32,4864,896,4864,28,31930.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2082816,32,4864,896,4864,28,31914.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1935360,32,4864,896,4864,28,31838.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2451456,32,4864,896,4864,28,31828.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1898496,32,4864,896,4864,28,31822.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1861632,32,4864,896,4864,28,31803.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2414592,32,4864,896,4864,28,31802.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2119680,32,4864,896,4864,28,31752.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1677312,32,4864,896,4864,28,31743.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1603584,32,4864,896,4864,28,31694.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1751040,32,4864,896,4864,28,31657.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2045952,32,4864,896,4864,28,31645.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2340864,32,4864,896,4864,28,31623.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2156544,32,4864,896,4864,28,31622.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2267136,32,4864,896,4864,28,31620.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1787904,32,4864,896,4864,28,31589.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2377728,32,4864,896,4864,28,31574.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2230272,32,4864,896,4864,28,31543.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1640448,32,4864,896,4864,28,31500.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1599488,32,896,4864,896,51,30854.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2410496,32,896,4864,896,51,30783.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2078720,32,896,4864,896,51,30600.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1746944,32,896,4864,896,51,30374.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1783808,32,896,4864,896,51,29966.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2041856,32,896,4864,896,51,29903.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1673216,32,896,4864,896,51,29843.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2115584,32,896,4864,896,51,29796.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2189312,32,896,4864,896,51,29773.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1931264,32,896,4864,896,51,29729.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1857536,32,896,4864,896,51,29719.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1968128,32,896,4864,896,51,29634.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2263040,32,896,4864,896,51,29525.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2004992,32,896,4864,896,51,29419.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2226176,32,896,4864,896,51,29395.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2152448,32,896,4864,896,51,29274.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1710080,32,896,4864,896,51,29202.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1820672,32,896,4864,896,51,29168.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2299904,32,896,4864,896,51,29133.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1636352,32,896,4864,896,51,29107.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2447360,32,896,4864,896,51,29072.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1894400,32,896,4864,896,51,29013.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2373632,32,896,4864,896,51,28993.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2336768,32,896,4864,896,51,28861.0,1D mcast,0,SILU,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2411520,32,896,4864,896,51,24459.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2190336,32,896,4864,896,51,24028.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1600512,32,896,4864,896,51,23982.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2337792,32,896,4864,896,51,23964.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1858560,32,896,4864,896,51,23889.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1784832,32,896,4864,896,51,23778.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2227200,32,896,4864,896,51,23768.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2079744,32,896,4864,896,51,23631.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1969152,32,896,4864,896,51,23581.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1674240,32,896,4864,896,51,23538.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1711104,32,896,4864,896,51,23502.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2042880,32,896,4864,896,51,23499.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1821696,32,896,4864,896,51,23489.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2116608,32,896,4864,896,51,23455.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2153472,32,896,4864,896,51,23436.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2300928,32,896,4864,896,51,23434.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1637376,32,896,4864,896,51,23318.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2448384,32,896,4864,896,51,23293.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2006016,32,896,4864,896,51,23284.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2264064,32,896,4864,896,51,23231.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1932288,32,896,4864,896,51,23214.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1747968,32,896,4864,896,51,23160.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
2374656,32,896,4864,896,51,23070.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1895424,32,896,4864,896,51,23039.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,,LoFi,15731.0,
1755136,32,896,1152,896,36,11615.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
2308096,32,896,1152,896,36,11614.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
1681408,32,896,1152,896,36,11610.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
2050048,32,896,1152,896,36,11605.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
2344960,32,896,1152,896,36,11600.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
1537024,32,896,1152,896,36,11597.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
2160640,32,896,1152,896,36,11594.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
1902592,32,896,1152,896,36,11593.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
2271232,32,896,1152,896,36,11586.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
2418688,32,896,1152,896,36,11583.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
2234368,32,896,1152,896,36,11577.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
1607680,32,896,1152,896,36,11576.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
2197504,32,896,1152,896,36,11575.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
1718272,32,896,1152,896,36,11573.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
1865728,32,896,1152,896,36,11560.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
2086912,32,896,1152,896,36,11560.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
1644544,32,896,1152,896,36,11556.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
2381824,32,896,1152,896,36,11555.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
1792000,32,896,1152,896,36,11554.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
1976320,32,896,1152,896,36,11550.0,1D mcast,0,,L1_WS,DRAM_IL,BFLOAT8_B,L1_WS,y,LoFi,3725.0,
